,Outlet,Agent,League,Position,Age,Country,Join,Market Value,Outcome
1191,Mail,Relatives,Premier League,Defender,32.0,Spain,3598.0,9.0,False
1194,Bild,Rafaela Pimenta,Serie A,Defender,22.0,Netherlands,1079.0,70.0,True
1198,Sky Sports,Unknown,Premier League,Attacker,35.0,Uruguay,634.0,4.0,False
1202,The Athletic,Unique Sports Group,Ligue 1,Attacker,25.0,Cote d'Ivoire,2724.0,15.0,True
1206,Goal,Rafaela Pimenta,Serie A,Defender,22.0,Netherlands,1079.0,70.0,True
1207,Marca,TEAM DEPAY,LaLiga,Attacker,28.0,Netherlands,365.0,35.0,False
1210,The Athletic,Gestifute,Serie A,Attacker,37.0,Portugal,1452.0,30.0,True
1212,Calcio M.,Rafaela Pimenta,Serie A,Defender,22.0,Netherlands,1079.0,70.0,True
1216,Evening Std,AC Talent,Premier League,Defender,27.0,Spain,1423.0,10.0,False
1217,Calcio M.,Relatives,Serie A,Attacker,28.0,Argentina,2557.0,35.0,True
1221,Times ,Unique Sports Group,Ligue 1,Attacker,25.0,Cote d'Ivoire,2724.0,15.0,True
1223,Insider,Unique Sports Group,Premier League,Midfielder,21.0,England,365.0,0.4,True
1224,Insider,4ComM,Eredivisie,Attacker,22.0,Brazil,730.0,35.0,True
1225,The Sun,ESN,LaLiga,Defender,23.0,France,1094.0,60.0,False
1226,Evening Std,CAA Stellar,Ligue 1,Defender,26.0,France,2557.0,40.0,False
1229,Marca,Relatives,Premier League,Defender,32.0,Spain,3598.0,9.0,False
1230,Mail,Unknown,Bundesliga,Defender,22.0,United States,730.0,7.5,True
1236,Telegraph ,CAA Stellar,Premier League,Midfielder,21.0,Scotland,871.0,12.0,False
1240,Talksport,4ComM,Eredivisie,Attacker,22.0,Brazil,730.0,35.0,True
1241,Marca,Gestifute,Serie A,Attacker,37.0,Portugal,1452.0,30.0,True
1242,Mail,Unknown,Premier League,Midfielder,29.0,England,2922.0,18.0,True
1244,Sky Sports,Unique Sports Group,Premier League,Attacker,22.0,England,1461.0,18.0,False
1246,The Athletic,Rafaela Pimenta,LaLiga,Attacker,27.0,Belgium,1815.0,12.0,True
1247,Metro,CAA Stellar,Premier League,Midfielder,26.0,England,2557.0,50.0,True
1254,Sky Sports,Unknown,Premier League,Midfielder,18.0,England,365.0,6.0,False
1255,Insider,Unknown,Eredivisie,Midfielder,24.0,Cote d'Ivoire,641.0,24.0,False
1257,Mail,Elite Project Group ...,Premier League,Attacker,20.0,England,1096.0,65.0,False
1258,ESPN,4ComM,Eredivisie,Attacker,22.0,Brazil,730.0,35.0,True
1259,The Athletic,Unknown,Premier League,Attacker,25.0,France,1064.0,32.0,False
1260,F. Romano,Unknown,Bundesliga,Midfielder,19.0,England,708.0,80.0,False
1262,Guardian,CAA Stellar,Serie A,Attacker,23.0,Italy,1826.0,30.0,True
1265,The Athletic,P&P Sport ...,Premier League,Attacker,25.0,France,1061.0,18.0,False
1266,The Sun,Unknown,Serie A,Attacker,28.0,Italy,2509.0,20.0,False
1268,F. Romano,Wasserman,Premier League,Midfielder,27.0,Belgium,1096.0,28.0,False
1269,The Athletic,Unknown,Premier League,Midfielder,18.0,England,365.0,6.0,False
1270,The Sun,Relatives,Premier League,Defender,22.0,England,1461.0,22.0,False
1272,ESPN,Relatives,Ligue 1,Attacker,35.0,Argentina,325.0,50.0,False
1275,F. Romano,ESN,LaLiga,Defender,23.0,France,1094.0,60.0,True
1279,Mail,Sport Cover,Bundesliga,Defender,24.0,France,1461.0,20.0,True
1281,Guardian,ESN,LaLiga,Defender,23.0,France,1094.0,60.0,True
1289,Bild,Sports360 GmbH,Premier League,Attacker,26.0,Germany,730.0,35.0,False
1291,Goal,Relatives,Ligue 1,Attacker,35.0,Argentina,325.0,50.0,False
1292,L'Equipe,P&P Sport ...,Premier League,Defender,35.0,Denmark,4018.0,4.0,True
1295,F. Romano,Teranga Sports,Ligue 1,Midfielder,32.0,Senegal,1067.0,12.0,True
1300,Mirror,CAA Base Ltd,LaLiga,Defender,31.0,England,1080.0,15.0,True
1301,The Athletic,AMS CONSULTING,Premier League,Defender,28.0,Cote d'Ivoire,2191.0,6.0,False
1302,Sky Sports,ROOF,Premier League,Attacker,24.0,Nigeria,304.0,10.0,True
1310,Journalists,CAA Base Ltd,Serie A,Midfielder,19.0,Italy,1096.0,1.0,False
1311,90 Min,CAA Stellar,Premier League,Defender,24.0,Wales,623.0,8.0,False
1313,Talksport,Unique Sports Group,Ligue 1,Attacker,25.0,Cote d'Ivoire,2724.0,15.0,True
1315,The Sun,Sports360 GmbH,Premier League,Attacker,26.0,Germany,730.0,35.0,True
1318,Times ,CAA Base Ltd,Premier League,Midfielder,25.0,England,1461.0,50.0,False
1319,90 Min,Unique Sports Group,Ligue 1,Attacker,25.0,Cote d'Ivoire,2724.0,15.0,True
1320,Mail,AC Talent,Premier League,Defender,27.0,Spain,1423.0,10.0,False
1322,L'Equipe,Sport Cover,Bundesliga,Defender,24.0,France,1461.0,20.0,True
1323,Calcio M.,CAA Base Ltd,Serie A,Midfielder,19.0,Italy,1096.0,1.0,False
1325,The Athletic,CAA Stellar,Premier League,Attacker,19.0,England,1096.0,1.5,True
1326,Marca,Sports360 GmbH,Premier League,Attacker,26.0,Germany,730.0,35.0,False
1328,Times ,Teranga Sports,Ligue 1,Midfielder,32.0,Senegal,1067.0,12.0,True
1329,90 Min,CK66,Premier League,Attacker,28.0,England,4199.0,90.0,False
1330,Corriere S.,Unknown,Serie A,Attacker,28.0,Italy,2509.0,20.0,True
1332,Insider,CAA Base Ltd,Premier League,Midfielder,25.0,England,1461.0,50.0,False
1333,Mail,P&P Sport ...,Premier League,Defender,35.0,Denmark,4018.0,4.0,True
1335,Sky Sports,AC Talent,Premier League,Defender,27.0,Spain,1423.0,10.0,False
1339,Mail,Elite Project Group ...,Championship,Attacker,20.0,United States,170.0,4.0,True
1341,90 Min,LIAN Sports Group,Premier League,Defender,31.0,Spain,2130.0,12.0,True
1342,Sky Sports,Unique Sports Group,Premier League,Defender,24.0,England,1096.0,25.0,False
1349,Mirror,LIAN Sports Group,Bundesliga,Attacker,26.0,Germany,716.0,60.0,False
1352,The Sun,Unknown,Bundesliga,Defender,23.0,France,1826.0,9.0,False
1354,Guardian,Relatives,Premier League,Attacker,21.0,England,1277.0,25.0,False
1357,Manchester N.,LIAN Sports Group,Bundesliga,Attacker,26.0,Germany,716.0,60.0,False
1360,Insider,Unique Sports Group,Premier League,Defender,29.0,Denmark,322.0,13.0,False
1361,The Sun,Unknown,Eredivisie,Midfielder,24.0,Cote d'Ivoire,641.0,24.0,False
1363,Mail,Gestifute,Premier League,Midfielder,27.0,Portugal,1826.0,80.0,False
1368,Evening Std,CAA Base Ltd,Serie A,Midfielder,19.0,Italy,1096.0,1.0,False
1372,Express,Gestifute,Liga Portugal,Attacker,21.0,Portugal,638.0,14.0,False
1373,Goal,TEAM DEPAY,LaLiga,Attacker,28.0,Netherlands,365.0,35.0,False
1374,Mail,Relatives,LaLiga,Attacker,27.0,Spain,904.0,25.0,False
1380,Corriere S.,Relatives,Serie A,Midfielder,27.0,France,1096.0,17.0,False
1382,Mail,Teranga Sports,Premier League,Attacker,24.0,Senegal,1058.0,27.0,False
1384,Journalists,AC Talent,Premier League,Defender,28.0,Spain,730.0,5.0,True
1386,L'Equipe,Relatives,Premier League,Attacker,24.0,England,2373.0,60.0,False
1387,Telegraph ,Unknown,LaLiga,Defender,24.0,Brazil,1090.0,30.0,False
1388,90 Min,CAA Stellar,Premier League,Defender,25.0,Scotland,1058.0,32.0,False
1389,The Sun,AC Talent,Premier League,Defender,28.0,Spain,730.0,5.0,True
1391,The Athletic,Relatives,Premier League,Attacker,24.0,Nigeria,365.0,14.0,True
1392,Mail,Unique Sports Group,Premier League,Attacker,25.0,Scotland,1096.0,18.0,False
1396,The Sun,Unknown,Premier League,Midfielder,24.0,Croatia,304.0,22.0,True
1399,90 Min,TEAM DEPAY,LaLiga,Attacker,28.0,Netherlands,365.0,35.0,False
1400,L'Equipe,AMS CONSULTING,Premier League,Defender,28.0,Cote d'Ivoire,2191.0,6.0,True
1405,F. Romano,TEAM DEPAY,LaLiga,Attacker,28.0,Netherlands,365.0,35.0,False
1412,The Sun,Relatives,Ligue 1,Attacker,35.0,Argentina,325.0,50.0,False
1414,Journalists,Gestifute,Serie A,Attacker,37.0,Portugal,1452.0,30.0,True
1419,Telegraph ,Unique Sports Group,Premier League,Attacker,25.0,Scotland,1096.0,18.0,False
1425,The Athletic,Wasserman,Premier League,Attacker,35.0,England,3652.0,5.0,False
1430,Guardian,CAA Base Ltd,Serie A,Midfielder,19.0,Italy,1096.0,1.0,False
1435,Bild,LIAN Sports Group,Premier League,Defender,31.0,Spain,2130.0,12.0,True
1437,Sky Sports,CAA Base Ltd,Serie A,Midfielder,19.0,Italy,1096.0,1.0,False
1442,Calcio M.,Unknown,Premier League,Midfielder,25.0,France,1095.0,30.0,True
1443,Sport,TEAM DEPAY,LaLiga,Attacker,28.0,Netherlands,365.0,35.0,False
1444,Times ,Relatives,Premier League,Attacker,23.0,United States,1276.0,42.0,False
1445,The Athletic,Gestifute,LaLiga,Attacker,22.0,Portugal,1094.0,70.0,False
1448,Mail,Sports Invest UK ltd,Campeonato Brasileiro Série A,Attacker,33.0,Brazil,305.0,5.5,True
1449,90 Min,Gestifute,Serie A,Attacker,37.0,Portugal,1452.0,30.0,True
1451,Telegraph ,Gestifute,Liga Portugal,Attacker,21.0,Portugal,638.0,14.0,False
1453,Telegraph ,Gol International,LaLiga,Attacker,28.0,Belgium,661.0,40.0,False
1454,Times ,CAA Stellar,Premier League,Midfielder,26.0,England,2191.0,15.0,False
1455,Bild,Gestifute,Serie A,Attacker,37.0,Portugal,1452.0,30.0,True
1456,Mail,Relatives,Premier League,Attacker,23.0,United States,1276.0,42.0,False
1461,Mirror,Gestifute,Serie A,Attacker,37.0,Portugal,1452.0,30.0,True
1467,F. Romano,AMS CONSULTING,Premier League,Defender,28.0,Cote d'Ivoire,2191.0,6.0,True
1468,The Sun,Gestifute,Premier League,Midfielder,27.0,Portugal,1826.0,80.0,False
1469,The Sun,Relatives,Premier League,Attacker,26.0,England,668.0,35.0,False
1470,L'Equipe,Teranga Sports,Premier League,Attacker,24.0,Senegal,1058.0,27.0,False
1473,90 Min,Unknown,Premier League,Midfielder,25.0,Scotland,1826.0,32.0,False
1480,Journalists,CAA Stellar,Premier League,Attacker,24.0,Wales,1096.0,18.0,True
1482,90 Min,CAA Base Ltd,Premier League,Defender,22.0,England,365.0,20.0,False
1485,Sport,Goal Management,Premier League,Defender,27.0,Spain,2922.0,20.0,True
1486,Mail,Universal Twenty Two,LaLiga,Attacker,22.0,Sweden,1096.0,30.0,True
1487,Telegraph ,4ComM,Eredivisie,Attacker,22.0,Brazil,730.0,35.0,True
1493,The Sun,Unknown,LaLiga,Defender,29.0,Cote d'Ivoire,270.0,10.0,True
1498,Metro,4ComM,Eredivisie,Attacker,22.0,Brazil,730.0,35.0,True
1499,Telegraph ,Gestifute,LaLiga,Attacker,26.0,Spain,2557.0,40.0,False
1500,Marca,Unknown,Premier League,Attacker,35.0,Uruguay,634.0,4.0,False
1502,Sky Sports,P&P Sport ...,Premier League,Attacker,25.0,France,1061.0,18.0,True
1504,L'Equipe,Unknown,LaLiga,Defender,29.0,Cote d'Ivoire,270.0,10.0,True
1506,The Sun,CAA Base Ltd,Premier League,Midfielder,20.0,England,365.0,6.0,False
1507,Insider,Unknown,Bundesliga,Midfielder,19.0,England,708.0,80.0,False
1508,Mail,4ComM,Eredivisie,Attacker,22.0,Brazil,730.0,35.0,True
1511,Talksport,Rafaela Pimenta,LaLiga,Attacker,27.0,Belgium,1815.0,12.0,False
1512,F. Romano,Unknown,Premier League,Attacker,35.0,Uruguay,634.0,4.0,True
1515,F. Romano,CAA Stellar,Premier League,Attacker,24.0,Wales,1096.0,18.0,True
1517,Metro,Gestifute,Serie A,Attacker,37.0,Portugal,1452.0,30.0,True
1520,Marca,Goal Management,Premier League,Defender,27.0,Spain,2922.0,20.0,True
1521,Mundo D.,HCM Sports ...,LaLiga,Midfielder,25.0,Netherlands,1096.0,60.0,False
1522,The Sun,Unique Sports Group,Premier League,Defender,32.0,England,365.0,3.0,False
1524,Sky Sports,Sport Cover,Ligue 1,Midfielder,25.0,Morocco,-62.0,10.0,True
1529,The Athletic,Sport Cover,Premier League,Defender,31.0,Cote d'Ivoire,1461.0,6.0,True
1530,Telegraph ,Sports Invest UK ltd,Premier League,Midfielder,24.0,Brazil,1072.0,38.0,False
1531,Mail,CAA Stellar,Premier League,Midfielder,21.0,Scotland,871.0,12.0,True
1533,Metro,Unknown,Premier League,Attacker,29.0,Cote d'Ivoire,2706.0,38.0,False
1535,The Athletic,Teranga Sports,Ligue 1,Midfielder,32.0,Senegal,1067.0,12.0,True
1540,Times ,CAA Stellar,Premier League,Midfielder,21.0,Scotland,871.0,12.0,True
1545,Sky Sports,Unknown,Bundesliga,Midfielder,19.0,England,708.0,80.0,False
1546,Calcio M.,Wasserman,Serie A,Midfielder,26.0,Netherlands,321.0,25.0,False
1547,Bild,Relatives,Bundesliga,Defender,33.0,Switzerland,2922.0,5.0,False
1549,90 Min,Relatives,Premier League,Defender,32.0,Spain,3598.0,9.0,False
1553,90 Min,Relatives,LaLiga,Midfielder,19.0,United States,699.0,15.0,False
1558,90 Min,CAA Stellar,Serie A,Midfielder,25.0,Morocco,883.0,10.0,False
1559,Express,Relatives,Serie A,Midfielder,27.0,France,1096.0,17.0,False
1560,90 Min,Unknown,Premier League,Attacker,29.0,Cote d'Ivoire,2706.0,38.0,False
1562,Goal,Sports Invest UK ltd,Campeonato Brasileiro Série A,Attacker,33.0,Brazil,305.0,5.5,True
1563,Calcio M.,Gestifute,LaLiga,Attacker,22.0,Portugal,1094.0,70.0,False
1564,Bild,LIAN Sports Group,Bundesliga,Attacker,26.0,Germany,716.0,60.0,False
1567,Mundo D.,Relatives,Ligue 1,Attacker,23.0,France,1826.0,16.0,False
1568,Calcio M.,Wasserman,Serie A,Midfielder,23.0,United States,365.0,25.0,False
1570,Mirror,Teranga Sports,Premier League,Attacker,24.0,Senegal,1058.0,27.0,False
1573,Mirror,Relatives,Premier League,Attacker,24.0,England,2373.0,60.0,False
1575,Calcio M.,Relatives,Premier League,Midfielder,23.0,England,1096.0,75.0,False
1577,Mirror,Gestifute,LaLiga,Attacker,22.0,Portugal,1094.0,70.0,False
1580,Mirror,Relatives,Premier League,Attacker,23.0,United States,1276.0,42.0,False
1581,Marca,Gestifute,LaLiga,Attacker,22.0,Portugal,1094.0,70.0,False
1582,Marca,Unknown,Bundesliga,Midfielder,19.0,England,708.0,80.0,False
1584,Journalists,Wasserman,Bundesliga,Attacker,17.0,Germany,702.0,15.0,False
1585,Mundo D.,Relatives,LaLiga,Attacker,25.0,France,1771.0,30.0,False
1587,Insider,Sports360 GmbH,Eredivisie,Defender,28.0,Germany,667.0,8.0,False
1588,F. Romano,ROOF,Bundesliga,Midfielder,25.0,Austria,1826.0,28.0,False
1592,Marca,Relatives,Ligue 1,Attacker,35.0,Argentina,325.0,50.0,False
1593,Insider,Unknown,Premier League,Attacker,29.0,Cote d'Ivoire,2706.0,38.0,False
1595,90 Min,4ComM,Campeonato Brasileiro Série A,Midfielder,20.0,Brazil,181.0,5.0,False
1597,Insider,CAA Base Ltd,Scottish Premiership,Defender,18.0,Scotland,0.0,0.1,False
1599,ESPN,Gestifute,Liga Portugal,Attacker,21.0,Portugal,638.0,14.0,False
1603,Mail,Gestifute,LaLiga,Attacker,22.0,Portugal,1094.0,70.0,False
1604,Sky Sports,Sports Invest UK ltd,Premier League,Defender,30.0,Portugal,730.0,6.0,False
1606,Mundo D.,Unknown,Bundesliga,Midfielder,19.0,England,708.0,80.0,False
1607,90 Min,Elite Project Group ...,Premier League,Attacker,20.0,England,1096.0,65.0,False
1609,Journalists,Gestifute,LaLiga,Attacker,22.0,Portugal,1094.0,70.0,False
1611,Marca,Relatives,Serie A,Midfielder,27.0,France,1096.0,17.0,False
1616,Star,Unique Sports Group,Premier League,Defender,24.0,England,1096.0,25.0,False
1619,Sport,Relatives,Serie A,Midfielder,27.0,France,1096.0,17.0,False
1622,Times ,ROOF,Bundesliga,Midfielder,20.0,United States,365.0,1.5,False
1625,Manchester N.,Unique Sports Group,Premier League,Defender,24.0,England,1096.0,25.0,False
1628,Calcio M.,P&P Sport ...,Serie A,Midfielder,25.0,Brazil,668.0,18.0,True
1630,Bild,Sport Cover,Bundesliga,Attacker,24.0,France,1075.0,20.0,False
1632,Telegraph ,Unique Sports Group,Premier League,Attacker,21.0,England,912.0,20.0,False
1634,L'Equipe,Universal Twenty Two,Premier League,Defender,29.0,Argentina,653.0,28.0,False
1635,Marca,Relatives,Ligue 1,Attacker,23.0,France,1461.0,160.0,False
1637,Goal,Bertolucci Sports,Bundesliga,Attacker,23.0,Brazil,882.0,30.0,True
1639,Sport,Wasserman,Bundesliga,Attacker,17.0,Germany,702.0,15.0,False
1641,Mundo D.,P&P Sport ...,Serie A,Midfielder,31.0,Argentina,641.0,6.5,False
1643,Insider,Universal Twenty Two,Premier League,Defender,29.0,Argentina,653.0,28.0,False
1644,Sport,Unknown,Premier League,Attacker,25.0,Brazil,634.0,45.0,True
1647,Evening Std,Sports Invest UK ltd,Premier League,Defender,30.0,Portugal,730.0,6.0,False
1648,Evening Std,Unique Sports Group,Premier League,Defender,24.0,England,1096.0,25.0,False
1651,The Sun,Unknown,Bundesliga,Midfielder,19.0,England,708.0,80.0,False
1654,Times ,Sport Cover,Bundesliga,Attacker,24.0,France,1075.0,20.0,False
1659,The Athletic,Relatives,Premier League,Midfielder,23.0,England,1826.0,80.0,False
1661,The Athletic,Unknown,Ligue 1,Defender,21.0,France,1461.0,30.0,False
1664,90 Min,Gestifute,Premier League,Attacker,26.0,Spain,1423.0,20.0,False
1665,Mundo D.,LIAN Sports Group,Premier League,Defender,31.0,Spain,2130.0,12.0,True
1666,Telegraph ,Gestifute,LaLiga,Attacker,22.0,Portugal,1094.0,70.0,False
1668,Mail,CAA Stellar,Premier League,Attacker,20.0,Sweden,181.0,20.0,False
1669,F. Romano,Unknown,Ligue 1,Defender,21.0,France,1461.0,30.0,False
1670,Mail,CAA Stellar,Premier League,Defender,28.0,England,1826.0,20.0,False
1674,Mundo D.,Gestifute,Liga Portugal,Defender,34.0,Argentina,640.0,3.5,False
1675,90 Min,Sport Cover,Bundesliga,Attacker,24.0,France,1075.0,20.0,False
1676,Goal,Unknown,Bundesliga,Midfielder,19.0,England,708.0,80.0,False
1677,Talksport,Gestifute,LaLiga,Attacker,22.0,Portugal,1094.0,70.0,False
1682,Mail,LIAN Sports Group,Serie A,Attacker,25.0,Cote d'Ivoire,1441.0,19.0,True
1684,ESPN,Unknown,Bundesliga,Midfielder,19.0,England,708.0,80.0,False
1692,The Sun,CAA Stellar,Premier League,Defender,28.0,England,1826.0,20.0,False
1695,Metro,Unknown,Ligue 1,Defender,21.0,France,1461.0,30.0,False
1697,Star,CAA Base Ltd,Liga Portugal,Defender,22.0,Spain,0.0,25.0,False
1702,Journalists,Wasserman,Serie A,Midfielder,26.0,Netherlands,321.0,25.0,False
1703,Mail,Sport Cover,Bundesliga,Attacker,24.0,France,1075.0,20.0,False
1704,Insider,CAA Stellar,Premier League,Attacker,20.0,Sweden,181.0,20.0,False
1705,Calcio M.,Elite Project Group ...,Championship,Attacker,20.0,United States,170.0,4.0,True
1707,Sport,Unique Sports Group,Premier League,Attacker,25.0,Scotland,1096.0,18.0,False
1712,Journalists,Relatives,Ligue 1,Attacker,23.0,France,1826.0,16.0,True
1716,Metro,TEAM DEPAY,LaLiga,Attacker,28.0,Netherlands,365.0,35.0,False
1717,Insider,Sport Cover,Bundesliga,Attacker,24.0,France,1075.0,20.0,False
1727,Evening Std,Unknown,Premier League,Attacker,29.0,Cote d'Ivoire,2706.0,38.0,False
1729,L'Equipe,Sport Cover,Bundesliga,Attacker,24.0,France,1075.0,20.0,False
1730,The Sun,Gestifute,LaLiga,Attacker,22.0,Portugal,1094.0,70.0,False
1731,The Sun,Unknown,Premier League,Attacker,29.0,England,331.0,20.0,False
1734,F. Romano,Sport Cover,Bundesliga,Attacker,24.0,France,1075.0,20.0,False
1740,Marca,CK66,Premier League,Attacker,28.0,England,4199.0,90.0,False
1741,L'Equipe,Relatives,LaLiga,Attacker,31.0,Belgium,1096.0,12.0,False
1742,90 Min,CAA Base Ltd,Liga Portugal,Defender,22.0,Spain,0.0,25.0,False
1745,F. Romano,Gol International,Bundesliga,Attacker,24.0,France,1079.0,80.0,False
1746,Evening Std,Wasserman,Bundesliga,Attacker,17.0,Germany,702.0,15.0,False
1747,Goal,Wasserman,Eredivisie,Midfielder,24.0,Netherlands,1826.0,25.0,True
1748,Star,Unique Sports Group,Premier League,Defender,32.0,England,365.0,3.0,False
1750,Talksport,CAA Base Ltd,Premier League,Defender,25.0,England,689.0,22.0,False
1752,Mail,Relatives,Ligue 1,Midfielder,23.0,France,0.0,25.0,True
1754,Telegraph ,CAA Stellar,LaLiga,Attacker,20.0,Uruguay,330.0,2.5,True
1762,The Athletic,Wasserman,Championship,Defender,24.0,England,668.0,2.5,False
1765,F. Romano,Bertolucci Sports,Bundesliga,Attacker,23.0,Brazil,882.0,30.0,True
1767,Sky Sports,Wasserman,Bundesliga,Attacker,17.0,Germany,702.0,15.0,False
1768,Mail,Gestifute,Premier League,Midfielder,25.0,Portugal,1819.0,40.0,False
1770,Mirror,CAA Stellar,Serie A,Midfielder,25.0,Morocco,883.0,10.0,False
1773,L'Equipe,Elite Project Group ...,Ligue 1,Attacker,23.0,Nigeria,638.0,9.0,False
1776,L'Equipe,Wasserman,Premier League,Defender,27.0,France,1247.0,7.0,True
1777,ESPN,Unknown,Eredivisie,Attacker,20.0,England,699.0,18.0,False
1782,The Sun,CAA Base Ltd,Liga Portugal,Defender,22.0,Spain,0.0,25.0,False
1784,The Sun,Gestifute,Premier League,Midfielder,25.0,Portugal,1819.0,40.0,False
1785,Mail,Elite Project Group ...,Ligue 1,Attacker,23.0,Nigeria,638.0,9.0,False
1791,Sky Sports,Elite Project Group ...,Ligue 1,Attacker,23.0,Nigeria,638.0,9.0,False
1792,Insider,ROOF,Premier League,Midfielder,24.0,England,1461.0,18.0,False
1804,Journalists,Relatives,Bundesliga,Defender,33.0,Switzerland,2922.0,5.0,False
1805,Guardian,Relatives,Premier League,Midfielder,23.0,England,1826.0,80.0,False
1811,Telegraph ,Relatives,Premier League,Midfielder,23.0,England,1826.0,80.0,False
1814,Sky Sports,Wasserman,Serie A,Midfielder,23.0,United States,365.0,25.0,False
1815,Insider,CAA Stellar,Premier League,Defender,28.0,England,1826.0,20.0,False
1816,L'Equipe,Relatives,Ligue 1,Midfielder,23.0,France,0.0,25.0,False
1820,The Sun,Teranga Sports,Premier League,Attacker,24.0,Senegal,1058.0,27.0,False
1825,Telegraph ,CAA Base Ltd,Liga Portugal,Defender,22.0,Spain,0.0,25.0,False
1826,F. Romano,Goal Management,Premier League,Defender,27.0,Spain,2922.0,20.0,True
1827,The Athletic,CAA Stellar,Premier League,Attacker,20.0,Sweden,181.0,20.0,False
1831,Mail,Gestifute,Premier League,Defender,28.0,Portugal,1059.0,65.0,False
1832,Express,Bertolucci Sports,Ligue 1,Defender,28.0,Brazil,3269.0,70.0,True
